Religion or spiritual tradition,Religion or spiritual tradition (other),Gender Identity,Gender Identity (not listed in survey),Race/Ethnicity**,Financial need level,Class Year Categories,School,1st Generation College,Federally Reported Race/Ethnicity,Sex,Have you ever sought any services provided by CAPS?,For which of the following reasons have you not sought services provided by CAPS?**,"Agreement with: ""I avoid consultations with CAPS because I am worried what I tell them might lead to negative academic repercussions""",For which of the following purposes would you feel comfortable utilizing CAPS?**,Which of the following CAPS services have you used?**,What was the outcome of your treatment at CAPS?,What was the outcome of your treatment at CAPS? (other),How many times did you visit CAPS?,In what school year(s) have you used or attempted to use CAPS?**,"Agreement with: ""CAPS was beneficial to my mental health""",Why did CAPS not have a beneficial effect on your mental health?**,Have you ever contacted the CAPS crisis support line?,You indicated that you have not contacted the CAPS crisis support line. Why?,You indicated that you have not contacted the CAPS crisis support line. Why? (other),Have you used the virtual support service TimelyCare?,"Agreement with: ""TimelyCare was beneficial for my mental health""","Agreement with: ""CAPS is committed to providing good quality treatment to students, regardless of their identity""","Agreement with: ""CAPS has the resources necessary to treat students of marginalized identities""","Agreement with: ""CAPS does their best to treat students of marginalized identities""",Which of the following sources have influenced your opinion about CAPS?**,"Which of the following resources, excluding CAPS, would you turn to if you were struggling with mental health?**","Which of the following are mental health and intervention offerings by Northwestern that you are aware of, if any?**","Which of the following would you consider to be your main source of community, support, and well-being?","Agreement with: ""I have been able to access meaningful mental health services provided to me by Northwestern""",Have you ever experienced a mental health issue that has impacted your academic performance at NU?,"Have you ever considered taking a medical leave of absence (""MLOA"") at Northwestern for mental health purposes?","Why did you not take a medical leave of absence (""MLOA"")? (if ""considered taking MLOA"" was selected)**",Which of the following identities best describes you?,"Agreement with: ""I feel comfortable expressing my religious or spiritual identity on campus""",In which of the following settings do you not feel comfortable expressing your religious or spiritual identity?**,"Agreement with: ""My professors treat my religion or spirituality with respect""","Agreement with: ""I have a space on campus where I can adequately practice my religion or spirituality""","Agreement with: ""I receive the academic accommodations that I need to account for my religious or spiritual restrictions""",What resources provided by Religious and Spiritual Life (RSL) are you aware of?**,"Agreement with: ""I would use a confidential conversation with a university chaplain for support""",Why would you not use a confidential conversation with a chaplain for support?**,"Agreement with: ""I would be more likely to consult with a university chaplain if they came from a secular background""",Do you identify as a first-generation student?,Do you identify as a low-income student?,"Agreement with: ""I feel supported by Student Enrichment Services (SES)""","Agreement with: ""I feel I have found a community on campus where I belong""","Agreement with: ""I feel like I am treated equally in the classroom, regardless of my socio-economic background""",Do you currently work a job on or off campus?,Hours per week you dedicate to non-paying student organizations,"Agreement with: ""Cost is something I consider when registering for classes""","Agreement with: ""I have financially struggled to purchase required books for classes""","Agreement with: ""I have financially struggled to purchase required technology for classes""",In what years during your time at Northwestern have you struggled financially to purchase required course materials?**
Catholic,No answer,Cisgender man,No answer,"Middle Eastern or North African (Examples: Lebanese, Iranian, Egyptian, Syrian, Moroccan),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Male,Yes,No answer,Strongly disagree,"Coping with academic-related stress,Help with interpersonal relationships,Emergency mental health care,Help transitioning to Northwestern,Help navigating my identity,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence","Crisis consultation,Individual therapy at CAPS",I received the treatment I needed within CAPS.,No answer,Four to six times,"2020-2021,2021-2022",Somewhat agree,No answer,"Yes, during office hours (8:30am-5pm)",No answer,No answer,"No, unaware of this service",No answer,Strongly agree,Somewhat agree,Strongly agree,"Personal experience with CAPS,Friends,Social media and online platforms","Student organizations,Sports teams,Friends,Family","ResilientNU,Appointment at CAPS","Friend Group,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Dorm/neighborhood,Sports team",Somewhat agree,Yes,"Yes, although I did not take one.","Stigma related to MLOAs,Anxiety around falling behind academically,I do not want to be distanced from my community at Northwestern",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,I have other sources of support,Somewhat agree,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 11-15 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
No answer,No answer,Non-binary / Non-conforming,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Bienen School of Music,Not 1st Generation,White,Female,Yes,No answer,Strongly disagree,Counseling on a Medical Leave of Absence,"Crisis consultation,Individual therapy at CAPS",I received the treatment I needed within CAPS.,No answer,Eleven or more times,"2020-2021,2021-2022",Somewhat disagree,"The counseling I received did not adequately address my concerns or needs.,I called CAPS because a close friend of mine was suicidal and I needed help to resolve her crisis. They called the police, who were extremely unhelpful and only made her mental state worse.","Yes, outside of office hours",No answer,No answer,No,No answer,Somewhat agree,Strongly disagree,Somewhat disagree,"Personal experience with CAPS,Friends,Social media and online platforms,Student publications","Friends,Family,Faculty or academic advisors","Drop-In Hours at CARE,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group)",Somewhat disagree,Yes,"Yes, although I did not take one.","Lack of financial support if my MLOA was approved,Stigma related to MLOAs,Anxiety around falling behind academically,I do not want to be distanced from my community at Northwestern",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Alice Millar Chapel Choir concerts,Strongly disagree,"None of the chaplains reflect my identity,I generally avoid religious institutions",Neither agree nor disagree,No,No,No answer,Somewhat agree,No answer,"Yes, one",Less than 1 hour,Strongly disagree,Somewhat disagree,Somewhat disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian)",Not High Need 4+,Second Year,School of Communication,Not 1st Generation,Hispanic,Female,No,"I am worried the wait time will be too long,I don't have time",Neither agree nor disagree,"Coping with academic-related stress,Help with interpersonal relationships",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Student publications","Friends,Family","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group)",Somewhat agree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Drop-in meditation,Confidential chaplain consultations",Somewhat disagree,"I have other sources of support,I generally avoid religious institutions",Somewhat agree,No,No,No answer,Strongly agree,No answer,No,Between 1-5 hours,Somewhat agree,Strongly disagree,Somewhat disagree,No answer
Atheist,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,School of Engineering,Not 1st Generation,White,Male,Yes,No answer,Somewhat agree,No answer,External referral to non-CAPS provider,The wait time for an initial consultation was too long so I did not follow through with the services.,No answer,Once,2021-2022,Strongly disagree,The wait was too long for me to follow through and receive help.,"Yes, outside of office hours",No answer,No answer,"No, unaware of this service",No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Personal experience with CAPS,Friends","Student organizations,Friends",Appointment at CAPS,"Friend Group,Student organization",Strongly disagree,Yes,"Yes, although I did not take one.","Stigma related to MLOAs,I do not want to be distanced from my community at Northwestern",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"None of the chaplains reflect my identity,I generally avoid religious institutions",Strongly disagree,No,No,No answer,Strongly agree,No answer,No,More than 20 hours,Somewhat agree,Somewhat disagree,Somewhat disagree,No answer
Catholic,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family","ResilientNU,Appointment at CAPS","Friend Group,Family,Sports team",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Strongly agree,No answer,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Weekly religious services,Neither agree nor disagree,No answer,No answer,No,No,No answer,Somewhat disagree,No answer,No,Between 16-20 hours,Somewhat disagree,Strongly disagree,Strongly disagree,No answer
Jewish,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,School of Journalism,Not 1st Generation,White,Male,No,"I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I have an external provider for mental and psychological health",Somewhat disagree,Emergency mental health care,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Somewhat agree,Strongly disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms","Friends,Family",Appointment at CAPS,"Friend Group,Family",Unable to judge,Yes,"Yes, although I did not take one.",I decided it was no longer necessary,I am religious,Somewhat disagree,In my student organizations,Strongly agree,Somewhat agree,Somewhat agree,No answer,No answer,No answer,No answer,No,No,No answer,Somewhat agree,No answer,"Yes, one",Between 1-5 hours,Strongly disagree,Somewhat disagree,Strongly disagree,No answer
Jewish,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,School of Engineering,Not 1st Generation,White,Female,No,"Haven't needed any CAPS services,I don't have time",Somewhat disagree,"Coping with academic-related stress,Help transitioning to Northwestern,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Student publications","Student organizations,Friends,Family,Peer advisors,Faculty or academic advisors","Drop-In Hours at the Women's Center,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group)",Neither agree or disagree,Prefer not to answer,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Strongly disagree,"In classes or labs,In my student organizations",Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Weekly religious services,Somewhat agree,No answer,No answer,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 11-15 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
No answer,No answer,No answer,No answer,No answer,Not High Need 4+,Fourth Year,School of Communication,Not 1st Generation,White,Female,Yes,No answer,Strongly disagree,Receiving a preliminary diagnosis,External referral to non-CAPS provider,I met with someone at CAPS and then was referred to an outside care person.,No answer,Once,2019-2020,Somewhat disagree,"The counseling I received did not adequately address my concerns or needs.,The wait was too long for me to follow through and receive help.",No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
Protestant (non-denominational),No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,No,"Haven't needed any CAPS services,I am worried the wait time will be too long,I don't have time",Neither agree nor disagree,"Coping with academic-related stress,Help with interpersonal relationships,Receiving a preliminary diagnosis",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Somewhat agree,Somewhat agree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms","Friends,Family,Faculty or academic advisors","Soldari-tea,Drop-In Hours at CARE,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Student organization",Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Somewhat agree,No answer,Strongly agree,Strongly agree,Strongly agree,"Weekly religious services,Drop-in meditation,Alice Millar Chapel Choir concerts",Somewhat disagree,"I have other sources of support,I did not know chaplain services existed at Northwestern",Somewhat disagree,No,No,No answer,Somewhat agree,No answer,No,Between 6-10 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Male,No,"Haven't needed any CAPS services,I am worried the wait time will be too long,I have an external provider for mental and psychological health",Strongly disagree,"Coping with academic-related stress,Help with interpersonal relationships,Emergency mental health care,Help transitioning to Northwestern,Help navigating my identity,Receiving a preliminary diagnosis",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Strongly disagree,Somewhat agree,"Friends,Peer advisors and student mentors","Friends,Family,Therapist",Appointment at CAPS,"Friend Group,Family,Dorm/neighborhood",Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Weekly religious services,Strongly disagree,I generally avoid religious institutions,Strongly disagree,No,No,No answer,Strongly agree,No answer,No,Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Atheist,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Male,Yes,No answer,Somewhat agree,Counseling on a Medical Leave of Absence,"External referral to non-CAPS provider,Crisis consultation",The wait time for ongoing therapy was too long so I did not follow through.,No answer,Two to three times,"2020-2021,2021-2022",Strongly disagree,"The counseling I received did not adequately address my concerns or needs.,CAPS staff could not relate to my identities/experiences.,The wait was too long for me to follow through and receive help.",No,I have not needed to,No answer,"No, unaware of this service",No answer,Somewhat disagree,Strongly disagree,Somewhat agree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS)","Student organizations,CARE,Friends,Family","Drop-In Hours at CARE,ResilientNU","Friend Group,Student organization",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Alice Millar Chapel Choir concerts,Strongly disagree,"None of the chaplains reflect my identity,I have other sources of support,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions",Strongly disagree,No,No,No answer,Somewhat agree,No answer,"Yes, more than one",Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
